TCGA_ID,NP_958782,NP_958785,NP_958786,NP_000436,NP_958781,NP_958780,NP_958783,NP_958784,NP_112598,NP_001611
TCGA-AO-A12D,1.096131182,1.111370375,1.111370375,1.107560577,1.115180173,1.107560577,1.111370375,1.111370375,-1.517390359,0.48275367799999996
TCGA-C8-A131,2.6099429769999998,2.650421787,2.650421787,2.646373906,2.646373906,2.646373906,2.650421787,2.650421787,3.909312755,-1.045293501
TCGA-AO-A12B,-0.6598280470000001,-0.648742151,-0.654285099,-0.632113308,-0.64042773,-0.654285099,-0.648742151,-0.648742151,-0.618255939,1.222002715
TCGA-BH-A18Q,0.195340653,0.215412944,0.215412944,0.205376799,0.215412944,0.215412944,0.215412944,0.215412944,-1.035759872,-0.5172256829999999
TCGA-C8-A130,-0.494059581,-0.503899187,-0.500619319,-0.510458925,-0.503899187,-0.503899187,-0.500619319,-0.500619319,-1.845365554,-0.405503121
TCGA-C8-A138,2.7650806589999997,2.779709215,2.779709215,2.7979949110000004,2.7870234939999996,2.779709215,2.783366355,2.783366355,2.205538366,0.749996978
TCGA-E2-A154,0.862659263,0.870186035,0.870186035,0.8664226490000001,0.870186035,0.870186035,0.870186035,0.870186035,1.920170648,2.34919662
TCGA-C8-A12L,1.407570262,1.407570262,1.410311827,1.407570262,1.413053392,1.407570262,1.410311827,1.413053392,3.1950704880000003,-0.007077155
TCGA-A2-A0EX,1.1851082309999998,1.192611952,1.188860091,1.1851082309999998,1.200115674,1.188860091,1.188860091,1.192611952,1.046289383,2.1380808609999997
TCGA-AO-A12D,1.100688066,1.100688066,1.100688066,1.100688066,1.093358353,1.09702321,1.09702321,1.09702321,-2.413909374,0.543629869
TCGA-AN-A04A,0.384587729,0.371392832,0.371392832,0.37799028,0.37469155600000004,0.37799028,0.37469155600000004,0.37469155600000004,-0.24216986899999998,0.051416585
TCGA-BH-A0AV,0.350535663,0.36740532600000003,0.36740532600000003,0.360657461,0.37077925899999997,0.36740532600000003,0.360657461,0.360657461,-1.650206386,0.40114465200000005
TCGA-C8-A12T,-0.20491791199999998,-0.162418489,-0.166668431,-0.1836682,-0.166668431,-0.166668431,-0.166668431,-0.166668431,2.425796388,0.470822918
TCGA-A8-A06Z,-0.49640909299999997,-0.498508898,-0.49640909299999997,-0.49220948299999995,-0.488009874,-0.49640909299999997,-0.49640909299999997,-0.49640909299999997,-1.3006343409999999,1.3493193490000002
TCGA-A2-A0CM,0.683403537,0.694424088,0.698097605,0.6870770540000001,0.6870770540000001,0.698097605,0.698097605,0.698097605,-2.652150067,-0.984373265
TCGA-BH-A18U,-0.265030351,-0.251642291,-0.251642291,-0.251642291,-0.251642291,-0.251642291,-0.251642291,-0.251642291,-1.613877425,-0.64659007
TCGA-A2-A0EQ,-0.912670278,-0.927978656,-0.927978656,-0.93180575,-0.927978656,-0.927978656,-0.927978656,-0.927978656,-3.0711514710000003,-2.278942948
TCGA-AR-A0U4,-0.033221329,-0.030216424,-0.02721152,-0.030216424,-0.030216424,-0.030216424,-0.030216424,-0.030216424,-2.551331119,-2.1005954769999997
TCGA-AO-A0J9,0.02000705,0.011955318000000001,0.011955318000000001,0.003903587,0.011955318000000001,0.011955318000000001,0.011955318000000001,0.011955318000000001,0.225326195,0.325972835
TCGA-AR-A1AP,0.461087521,0.461087521,0.461087521,0.461087521,0.461087521,0.461087521,0.461087521,0.461087521,2.318731725,-0.283625077
TCGA-AN-A0FK,0.973564168,0.97747606,0.97747606,0.969652277,0.985299842,0.97747606,0.97747606,0.97747606,-1.811702422,3.2620205660000003
TCGA-AO-A0J6,0.831131746,0.856539831,0.856539831,0.8367779870000001,0.865009193,0.856539831,0.85089359,0.85089359,-0.9671960740000001,2.838370489
TCGA-A7-A13F,1.279184725,1.2751671279999999,1.2751671279999999,1.279184725,1.279184725,1.279184725,1.279184725,1.279184725,3.026839582,0.961794533
TCGA-BH-A0E1,0.762044407,0.762044407,0.7663843509999999,0.7577044629999999,0.7663843509999999,0.762044407,0.762044407,0.762044407,-0.583338181,2.185545984
TCGA-A7-A0CE,-1.123173085,-1.123173085,-1.1168605120000001,-1.129485657,-1.129485657,-1.120016798,-1.123173085,-1.123173085,2.244584354,-2.575064764
TCGA-A2-A0YC,0.818824062,0.814877249,0.814877249,0.799089996,0.818824062,0.814877249,0.814877249,0.814877249,-1.5374234009999999,1.051686039
TCGA-AO-A0JC,-0.307266841,-0.307266841,-0.307266841,-0.307266841,-0.301032745,-0.307266841,-0.307266841,-0.307266841,-1.460574599,1.170213908
TCGA-A8-A08Z,0.56889458,0.56889458,0.56889458,0.56889458,0.56889458,0.56889458,0.56889458,0.56889458,3.263024321,0.8877477009999999
TCGA-AR-A0TX,-0.583428637,-0.572548866,-0.5671089810000001,-0.583428637,-0.572548866,-0.577988752,-0.577988752,-0.577988752,0.730303716,1.638764597
TCGA-A8-A076,1.8739818330000002,1.8703830959999999,1.8703830959999999,1.859586885,1.8703830959999999,1.8703830959999999,1.8703830959999999,1.8703830959999999,1.5392992859999999,1.377356118
TCGA-AO-A126,0.195876687,0.195876687,0.195876687,0.218934622,0.199719676,0.199719676,0.199719676,0.199719676,-2.624877344,0.653192395
TCGA-BH-A0C1,-0.518366498,-0.510001999,-0.507213833,-0.518366498,-0.512790166,-0.507213833,-0.510001999,-0.510001999,-2.43941306,-2.174537264
TCGA-A2-A0EY,1.174880993,1.183208792,1.183208792,1.174880993,1.179044893,1.183208792,1.183208792,1.183208792,4.955701511,0.825113456
TCGA-AR-A1AW,0.578308676,0.5822128520000001,0.578308676,0.590021204,0.586117028,0.578308676,0.5822128520000001,0.5822128520000001,-1.6275508,-1.69782597
TCGA-AR-A1AV,-0.7598230559999999,-0.7598230559999999,-0.7491136890000001,-0.7357269820000001,-0.7491136890000001,-0.7437590059999999,-0.754468373,-0.754468373,-0.7009215409999999,0.7261015259999999
TCGA-C8-A135,1.120501833,1.137617791,1.137617791,1.137617791,1.120501833,1.127348216,1.137617791,1.137617791,0.589907135,2.257001446
TCGA-A2-A0EV,0.452985925,0.472590131,0.472590131,0.45858712700000004,0.472590131,0.472590131,0.472590131,0.472590131,-0.7428706540000001,1.811277356
TCGA-AN-A0AM,1.501966964,1.510348384,1.501966964,1.501966964,1.501966964,1.510348384,1.506157674,1.506157674,2.1515270159999997,1.552255484
