id,date,deaths,highlight
AFG,2020-06-21,581,FALSE
AFG,2020-06-22,598,FALSE
AFG,2020-06-23,618,FALSE
AFG,2020-06-24,639,FALSE
AFG,2020-06-25,675,FALSE
AFG,2020-06-26,683,FALSE
AFG,2020-06-27,703,FALSE
AFG,2020-06-28,721,FALSE
AFG,2020-06-29,733,FALSE
AFG,2020-06-30,746,FALSE
AFG,2020-07-01,774,FALSE
AFG,2020-07-02,807,FALSE
AFG,2020-07-03,819,FALSE
AFG,2020-07-04,826,FALSE
AFG,2020-07-05,864,FALSE
AFG,2020-07-06,898,FALSE
AFG,2020-07-07,920,FALSE
AFG,2020-07-08,936,FALSE
AFG,2020-07-09,957,FALSE
AFG,2020-07-10,971,FALSE
AFG,2020-07-11,994,FALSE
AFG,2020-07-12,1010,FALSE
AFG,2020-07-13,1012,FALSE
AFG,2020-07-14,1048,FALSE
AFG,2020-07-15,1094,FALSE
AFG,2020-07-16,1113,FALSE
AFG,2020-07-17,1147,FALSE
AFG,2020-07-18,1164,FALSE
AFG,2020-07-19,1181,FALSE
AFG,2020-07-20,1185,FALSE
AFG,2020-07-21,1186,FALSE
AFG,2020-07-22,1190,FALSE
AFG,2020-07-23,1211,FALSE
AFG,2020-07-24,1225,FALSE
AFG,2020-07-25,1248,FALSE
AFG,2020-07-26,1259,FALSE
AFG,2020-07-27,1269,FALSE
AFG,2020-07-28,1270,FALSE
AFG,2020-07-29,1271,FALSE
AFG,2020-07-30,1271,FALSE
AFG,2020-07-31,1272,FALSE
AFG,2020-08-01,1283,FALSE
AFG,2020-08-02,1284,FALSE
AFG,2020-08-03,1288,FALSE
AFG,2020-08-04,1288,FALSE
AFG,2020-08-05,1294,FALSE
AFG,2020-08-06,1298,FALSE
AFG,2020-08-07,1307,FALSE
AFG,2020-08-08,1312,FALSE
AFG,2020-08-09,1312,FALSE
AFG,2020-08-10,1328,FALSE
AFG,2020-08-11,1344,FALSE
AFG,2020-08-12,1354,FALSE
AFG,2020-08-13,1363,FALSE
AFG,2020-08-14,1363,FALSE
AFG,2020-08-15,1370,FALSE
AFG,2020-08-16,1375,FALSE
AFG,2020-08-17,1375,FALSE
AFG,2020-08-18,1375,FALSE
AFG,2020-08-19,1375,FALSE
AFG,2020-08-20,1385,FALSE
